Origin,Destination,Distance_km,Carrier,Weather,Traffic,Month,Is_Festival_Season,Delayed,Delay_Hours
Lucknow,Delhi,244,DTDC,Fog,High,11,1,0,0.0
Lucknow,Ahmedabad,1097,Delhivery,Clear,Medium,3,0,0,0.0
Jaipur,Bangalore,405,Blue Dart,Storm,Jam (Gridlock),9,0,0,0.0
Pune,Kolkata,1123,DTDC,Fog,High,12,0,0,0.0
Kolkata,Mumbai,1946,Blue Dart,Clear,High,2,0,0,0.0
Ahmedabad,Pune,1502,Xpressbees,Rain,Low,9,0,0,0.0
Delhi,Lucknow,2453,India Post,Heavy Rain (Monsoon),Low,6,0,0,0.0
Lucknow,Pune,2386,India Post,Fog,Low,1,0,0,0.0
Ahmedabad,Bangalore,1589,DTDC,Storm,High,3,0,0,0.0
Kolkata,Lucknow,2463,DTDC,Clear,Low,7,0,0,0.0
Mumbai,Pune,1164,Ecom Express,Clear,Low,4,0,1,0.0
Lucknow,Mumbai,61,Shadowfax,Clear,Medium,11,1,0,0.0
Lucknow,Mumbai,1972,Xpressbees,Clear,Jam (Gridlock),4,0,0,0.0
Chennai,Mumbai,1474,Shadowfax,Clear,High,9,0,0,0.0
Lucknow,Mumbai,420,Shadowfax,Heavy Rain (Monsoon),Jam (Gridlock),8,0,1,22.68
Ahmedabad,Lucknow,801,Blue Dart,Clear,Medium,11,1,0,0.0
Kolkata,Jaipur,1517,Shadowfax,Clear,Low,8,0,0,0.0
Kolkata,Hyderabad,2265,Ecom Express,Clear,Low,11,1,0,0.0
Lucknow,Jaipur,1083,Xpressbees,Rain,Low,9,0,0,0.0
Mumbai,Ahmedabad,2447,Shadowfax,Rain,High,9,0,1,1.51
Hyderabad,Lucknow,1384,Ecom Express,Storm,Low,5,0,0,0.0
Kolkata,Jaipur,1980,DTDC,Clear,Medium,1,0,0,0.0
Pune,Hyderabad,857,Delhivery,Clear,High,10,1,0,0.0
Ahmedabad,Lucknow,2063,Ecom Express,Clear,Low,12,0,0,0.0
Delhi,Chennai,1223,India Post,Heavy Rain (Monsoon),Jam (Gridlock),6,0,1,23.12
Delhi,Ahmedabad,903,Delhivery,Clear,Medium,1,0,0,0.0
Kolkata,Chennai,1318,Ecom Express,Rain,Low,6,0,1,3.78
Hyderabad,Delhi,2484,Ecom Express,Storm,Low,7,0,0,0.0
Delhi,Lucknow,609,Ecom Express,Heavy Rain (Monsoon),High,2,0,0,0.0
Pune,Delhi,711,Xpressbees,Clear,Medium,12,0,0,0.0
Mumbai,Hyderabad,818,DTDC,Clear,Medium,6,0,0,0.0
Mumbai,Bangalore,471,India Post,Heavy Rain (Monsoon),Medium,7,0,0,0.0
Chennai,Pune,123,DTDC,Heavy Rain (Monsoon),Medium,6,0,0,0.0
Lucknow,Bangalore,1251,Shadowfax,Clear,Medium,11,1,0,0.0
Hyderabad,Chennai,1864,Delhivery,Clear,Medium,4,0,0,0.0
Pune,Lucknow,2341,Ecom Express,Clear,Medium,11,1,0,0.0
Pune,Jaipur,1527,Ecom Express,Heavy Rain (Monsoon),Medium,9,0,0,0.0
Lucknow,Chennai,314,Blue Dart,Fog,Low,2,0,0,0.0
Bangalore,Jaipur,1604,Xpressbees,Heavy Rain (Monsoon),Low,9,0,1,16.57
Ahmedabad,Kolkata,769,Shadowfax,Clear,Medium,12,0,0,0.0
Lucknow,Ahmedabad,2116,Shadowfax,Fog,Medium,2,0,0,0.0
Ahmedabad,Kolkata,1014,Shadowfax,Clear,Low,4,0,0,0.0
Ahmedabad,Jaipur,752,Ecom Express,Rain,High,4,0,0,0.0
Jaipur,Kolkata,2357,Ecom Express,Heavy Rain (Monsoon),High,9,0,1,5.27
Jaipur,Pune,2087,Xpressbees,Heavy Rain (Monsoon),Medium,9,0,0,0.0
Lucknow,Delhi,2310,DTDC,Clear,High,10,1,0,0.0
Delhi,Hyderabad,201,Shadowfax,Rain,High,6,0,0,0.0
Mumbai,Lucknow,616,Xpressbees,Clear,High,3,0,0,0.0
Bangalore,Ahmedabad,177,Xpressbees,Clear,High,12,0,0,0.0
Hyderabad,Chennai,2337,DTDC,Heavy Rain (Monsoon),Medium,6,0,0,0.0
Bangalore,Ahmedabad,971,Xpressbees,Rain,Medium,2,0,1,3.19
Chennai,Lucknow,458,Blue Dart,Clear,Medium,4,0,0,0.0
Delhi,Bangalore,1169,Delhivery,Heavy Rain (Monsoon),Jam (Gridlock),6,0,1,17.57
Chennai,Pune,135,Ecom Express,Rain,High,8,0,0,0.0
Chennai,Jaipur,258,DTDC,Clear,High,5,0,0,0.0
Lucknow,Ahmedabad,146,Blue Dart,Clear,High,5,0,0,0.0
Pune,Ahmedabad,587,India Post,Rain,Medium,7,0,0,0.0
Mumbai,Hyderabad,1033,Shadowfax,Rain,Medium,6,0,0,0.0
Jaipur,Pune,615,India Post,Fog,Medium,4,0,0,0.0
Bangalore,Hyderabad,124,Xpressbees,Clear,Jam (Gridlock),1,0,1,5.17
Mumbai,Lucknow,457,India Post,Fog,High,6,0,1,0.0
Kolkata,Hyderabad,624,DTDC,Storm,High,11,1,0,0.0
Chennai,Delhi,1480,Shadowfax,Clear,High,8,0,0,0.0
Delhi,Ahmedabad,1057,Delhivery,Heavy Rain (Monsoon),Low,8,0,0,0.0
Jaipur,Mumbai,1809,DTDC,Fog,Medium,1,0,1,0.0
Mumbai,Hyderabad,204,Blue Dart,Clear,High,10,1,1,38.16
Ahmedabad,Hyderabad,1802,India Post,Fog,Low,8,0,0,0.0
Ahmedabad,Chennai,1125,Ecom Express,Rain,Medium,9,0,0,0.0
Pune,Jaipur,2263,Shadowfax,Clear,Low,10,1,0,0.0
Mumbai,Ahmedabad,112,Shadowfax,Storm,Medium,4,0,0,0.0
Delhi,Chennai,444,DTDC,Clear,High,1,0,0,0.0
Jaipur,Chennai,517,Blue Dart,Clear,High,3,0,0,0.0
Pune,Mumbai,1553,DTDC,Storm,Low,7,0,0,0.0
Ahmedabad,Mumbai,1194,Ecom Express,Storm,High,10,1,0,0.0
Kolkata,Mumbai,1116,India Post,Clear,High,10,1,0,0.0
Kolkata,Chennai,121,DTDC,Rain,Low,7,0,0,0.0
Delhi,Mumbai,1227,India Post,Rain,Medium,10,1,0,0.0
Lucknow,Hyderabad,96,Xpressbees,Clear,Low,12,0,0,0.0
Pune,Lucknow,265,Xpressbees,Heavy Rain (Monsoon),Low,8,0,0,0.0
Delhi,Pune,571,Blue Dart,Clear,High,11,1,0,0.0
Delhi,Ahmedabad,1848,Ecom Express,Heavy Rain (Monsoon),High,6,0,0,0.0
Delhi,Mumbai,101,India Post,Clear,Jam (Gridlock),4,0,1,5.93
Bangalore,Hyderabad,156,Delhivery,Heavy Rain (Monsoon),Jam (Gridlock),7,0,1,27.42
Kolkata,Pune,1532,India Post,Clear,Low,11,1,0,0.0
Chennai,Mumbai,1742,Blue Dart,Fog,Medium,12,0,0,0.0
Kolkata,Lucknow,1483,DTDC,Clear,Low,5,0,0,0.0
Chennai,Kolkata,765,Delhivery,Clear,Low,10,1,0,0.0
Jaipur,Bangalore,1913,Xpressbees,Clear,Medium,3,0,0,0.0
Kolkata,Bangalore,1035,DTDC,Clear,High,11,1,0,0.0
Bangalore,Mumbai,1887,Xpressbees,Rain,Medium,9,0,0,0.0
Hyderabad,Jaipur,1837,Blue Dart,Rain,Low,6,0,0,0.0
Jaipur,Kolkata,1132,India Post,Fog,High,1,0,0,0.0
Kolkata,Hyderabad,1632,Blue Dart,Rain,Medium,4,0,0,0.0
Chennai,Mumbai,2100,Shadowfax,Clear,High,2,0,0,0.0
Bangalore,Chennai,223,Xpressbees,Clear,High,12,0,0,0.0
Bangalore,Chennai,1467,Delhivery,Rain,Low,11,1,1,50.53
Hyderabad,Lucknow,2113,India Post,Storm,High,10,1,1,37.38
Delhi,Lucknow,1265,Blue Dart,Clear,Medium,10,1,0,0.0
Pune,Ahmedabad,2312,Ecom Express,Heavy Rain (Monsoon),Medium,9,0,1,20.0
Delhi,Ahmedabad,2094,Ecom Express,Clear,High,4,0,0,0.0
Chennai,Hyderabad,958,India Post,Rain,Low,5,0,0,0.0
Ahmedabad,Bangalore,2335,Shadowfax,Clear,Medium,12,0,0,0.0
Lucknow,Mumbai,733,Shadowfax,Heavy Rain (Monsoon),Jam (Gridlock),4,0,1,9.42
Jaipur,Bangalore,137,India Post,Storm,High,3,0,0,0.0
Lucknow,Jaipur,1119,Blue Dart,Rain,High,8,0,0,0.0
Hyderabad,Mumbai,1942,India Post,Clear,High,11,1,0,0.0
Lucknow,Pune,843,Xpressbees,Fog,High,1,0,0,0.0
Lucknow,Hyderabad,646,DTDC,Clear,Medium,3,0,0,0.0
Lucknow,Bangalore,95,Delhivery,Rain,Medium,5,0,0,0.0
Jaipur,Hyderabad,618,India Post,Fog,Jam (Gridlock),1,0,1,2.51
Chennai,Jaipur,2449,Xpressbees,Storm,Low,10,1,1,23.22
Ahmedabad,Jaipur,970,DTDC,Clear,Medium,12,0,0,0.0
Bangalore,Pune,1197,Delhivery,Storm,Low,11,1,0,0.0
Ahmedabad,Kolkata,515,DTDC,Clear,Medium,12,0,0,0.0
Chennai,Bangalore,1472,DTDC,Clear,Low,10,1,0,0.0
Jaipur,Pune,968,Blue Dart,Clear,Low,4,0,0,0.0
Ahmedabad,Bangalore,1604,DTDC,Clear,High,6,0,0,0.0
Hyderabad,Kolkata,1787,Shadowfax,Heavy Rain (Monsoon),Medium,8,0,0,0.0
Bangalore,Chennai,1995,Ecom Express,Heavy Rain (Monsoon),High,12,0,1,7.64
Mumbai,Lucknow,306,Shadowfax,Clear,Low,5,0,0,0.0
Chennai,Lucknow,601,Delhivery,Clear,Medium,4,0,0,0.0
Bangalore,Kolkata,1882,Shadowfax,Fog,Medium,12,0,0,0.0
Pune,Lucknow,423,India Post,Clear,Medium,2,0,0,0.0
Bangalore,Lucknow,2259,Shadowfax,Clear,Medium,1,0,0,0.0
Lucknow,Delhi,1292,Delhivery,Fog,Medium,2,0,1,8.81
Ahmedabad,Delhi,486,Shadowfax,Clear,Medium,11,1,0,0.0
Bangalore,Delhi,715,India Post,Clear,High,10,1,0,0.0
Ahmedabad,Bangalore,1740,Xpressbees,Rain,High,8,0,0,0.0
Pune,Bangalore,2302,Shadowfax,Clear,Jam (Gridlock),9,0,0,0.0
Hyderabad,Lucknow,1779,Blue Dart,Clear,Medium,1,0,0,0.0
Hyderabad,Lucknow,1029,DTDC,Clear,High,1,0,0,0.0
Hyderabad,Kolkata,1490,India Post,Heavy Rain (Monsoon),Low,8,0,1,16.58
Jaipur,Bangalore,1558,Shadowfax,Clear,Jam (Gridlock),5,0,1,4.41
Hyderabad,Lucknow,2224,Delhivery,Clear,Medium,9,0,0,0.0
Hyderabad,Chennai,1240,Xpressbees,Clear,Low,3,0,0,0.0
Bangalore,Lucknow,1334,Xpressbees,Heavy Rain (Monsoon),Medium,9,0,1,7.48
Hyderabad,Bangalore,527,Shadowfax,Fog,High,1,0,0,0.0
Hyderabad,Pune,897,Shadowfax,Clear,High,12,0,0,0.0
Pune,Hyderabad,1232,India Post,Clear,Medium,1,0,0,0.0
Pune,Bangalore,2147,Ecom Express,Clear,Jam (Gridlock),11,1,1,48.52
Bangalore,Delhi,268,Blue Dart,Rain,High,10,1,0,0.0
Pune,Lucknow,948,Xpressbees,Clear,Low,10,1,0,0.0
Jaipur,Hyderabad,1701,DTDC,Fog,Low,11,1,1,36.57
Bangalore,Kolkata,1275,Ecom Express,Heavy Rain (Monsoon),Medium,8,0,1,14.74
Delhi,Mumbai,2165,Delhivery,Clear,Medium,10,1,0,0.0
Kolkata,Hyderabad,247,Xpressbees,Storm,Medium,4,0,0,0.0
Jaipur,Lucknow,1669,Xpressbees,Clear,Low,5,0,0,0.0
Delhi,Chennai,437,India Post,Clear,High,11,1,1,47.09
Kolkata,Pune,396,DTDC,Heavy Rain (Monsoon),Medium,6,0,1,23.2
Delhi,Pune,1689,Ecom Express,Rain,Medium,6,0,1,2.28
Delhi,Chennai,120,Delhivery,Fog,High,7,0,1,10.33
Jaipur,Ahmedabad,1789,Delhivery,Rain,Jam (Gridlock),3,0,1,5.65
Pune,Mumbai,1384,India Post,Heavy Rain (Monsoon),Low,9,0,0,0.0
Pune,Ahmedabad,1603,Delhivery,Clear,High,8,0,0,0.0
Hyderabad,Ahmedabad,1126,Xpressbees,Clear,Jam (Gridlock),1,0,1,5.7
Mumbai,Delhi,1587,Delhivery,Storm,Jam (Gridlock),12,0,0,0.0
Lucknow,Delhi,100,Ecom Express,Clear,High,12,0,0,0.0
Hyderabad,Delhi,597,Ecom Express,Fog,Medium,1,0,1,6.44
Hyderabad,Pune,406,Xpressbees,Rain,Medium,5,0,1,2.7
Hyderabad,Pune,1237,Ecom Express,Clear,Low,12,0,0,0.0
Pune,Delhi,360,Xpressbees,Clear,Jam (Gridlock),9,0,1,4.64
Chennai,Mumbai,1791,Delhivery,Fog,High,9,0,0,0.0
Chennai,Delhi,2220,Xpressbees,Clear,Jam (Gridlock),10,1,0,0.0
Jaipur,Pune,2299,India Post,Fog,Medium,1,0,0,0.0
Delhi,Chennai,907,India Post,Fog,High,8,0,1,7.04
Chennai,Kolkata,1718,Delhivery,Rain,Medium,4,0,0,0.0
Kolkata,Delhi,1124,Ecom Express,Clear,High,4,0,0,0.0
Pune,Mumbai,746,Xpressbees,Clear,High,11,1,0,0.0
Ahmedabad,Hyderabad,1547,Shadowfax,Fog,Low,1,0,0,0.0
Hyderabad,Delhi,2321,Delhivery,Clear,High,7,0,0,0.0
Hyderabad,Chennai,1698,Ecom Express,Rain,High,9,0,0,0.0
Kolkata,Ahmedabad,2231,Delhivery,Heavy Rain (Monsoon),High,9,0,1,23.0
Ahmedabad,Kolkata,699,Shadowfax,Rain,Low,4,0,0,0.0
Jaipur,Lucknow,892,India Post,Clear,Low,2,0,0,0.0
Mumbai,Jaipur,714,Ecom Express,Heavy Rain (Monsoon),Medium,6,0,0,0.0
Ahmedabad,Delhi,305,India Post,Fog,High,1,0,0,0.0
Lucknow,Bangalore,770,Blue Dart,Clear,Medium,3,0,0,0.0
Bangalore,Kolkata,1797,Xpressbees,Clear,Jam (Gridlock),1,0,0,0.0
Jaipur,Lucknow,2464,Delhivery,Heavy Rain (Monsoon),Low,3,0,1,13.68
Jaipur,Chennai,2121,Ecom Express,Heavy Rain (Monsoon),Medium,8,0,0,0.0
Ahmedabad,Lucknow,1586,Xpressbees,Rain,Medium,3,0,0,0.0
Ahmedabad,Kolkata,2412,Delhivery,Clear,Medium,9,0,0,0.0
Hyderabad,Chennai,1553,Shadowfax,Fog,High,3,0,0,0.0
Chennai,Jaipur,1489,India Post,Fog,Low,6,0,0,0.0
Kolkata,Hyderabad,241,Ecom Express,Clear,Medium,9,0,0,0.0
Lucknow,Chennai,1222,India Post,Clear,Medium,9,0,0,0.0
Lucknow,Kolkata,2465,DTDC,Storm,Medium,8,0,0,0.0
Mumbai,Jaipur,439,Shadowfax,Storm,Jam (Gridlock),10,1,1,22.08
Jaipur,Ahmedabad,2206,Xpressbees,Fog,High,5,0,0,0.0
Lucknow,Pune,1216,Delhivery,Heavy Rain (Monsoon),Medium,8,0,1,12.31
Jaipur,Mumbai,1301,India Post,Rain,Medium,4,0,0,0.0
Pune,Bangalore,760,Shadowfax,Rain,High,9,0,1,3.34
Chennai,Hyderabad,1223,Delhivery,Heavy Rain (Monsoon),Jam (Gridlock),9,0,1,10.44
Pune,Kolkata,2246,Xpressbees,Rain,Jam (Gridlock),5,0,1,8.09
Mumbai,Lucknow,918,Ecom Express,Clear,Medium,2,0,0,0.0
Delhi,Lucknow,2232,Xpressbees,Heavy Rain (Monsoon),Low,8,0,1,11.67
Ahmedabad,Chennai,1317,Blue Dart,Heavy Rain (Monsoon),High,6,0,1,17.95
Mumbai,Chennai,358,Ecom Express,Rain,Medium,9,0,1,3.6
Delhi,Bangalore,511,Ecom Express,Clear,High,11,1,0,0.0
Chennai,Ahmedabad,1053,Ecom Express,Clear,Medium,10,1,1,32.98
