Origin,Destination,Distance_km,Carrier,Shipment_Type,Service_Level,Mode,Priority,Package_Weight_kg,Promised_SLA_Hours,Weather,Traffic,Month,Is_Festival_Season,Delayed,Delay_Hours
Delhi,Hyderabad,1375,Delhivery,B2C,Standard,Air,Normal,25.59,96,Clear,High,2,0,1,1.48
Jaipur,Hyderabad,1655,Delhivery,B2B,Standard,Road,High,3.26,48,Clear,Low,2,0,0,0.0
Bangalore,Lucknow,976,Delhivery,B2C,Express,Road,Normal,4.64,24,Clear,High,1,0,1,8.11
Ahmedabad,Mumbai,2004,Delhivery,B2C,Same Day,Air,High,12.46,8,Clear,Medium,10,1,0,0.0
Chennai,Hyderabad,1750,DTDC,B2C,Standard,Air,High,7.11,48,Rain,Low,9,0,0,0.0
Lucknow,Pune,1562,DTDC,B2B,Standard,Air,High,1.67,72,Storm,Medium,12,0,0,0.0
Kolkata,Bangalore,715,DTDC,B2C,Same Day,Road,Normal,7.57,12,Clear,Medium,11,1,1,15.66
Delhi,Bangalore,1327,Blue Dart,B2C,Express,Air,High,1.37,24,Clear,High,4,0,0,0.0
Chennai,Lucknow,1811,Delhivery,B2B,Same Day,Air,High,37.52,8,Storm,Medium,12,0,1,12.0
Mumbai,Kolkata,1529,Xpressbees,B2B,Express,Road,High,13.7,24,Clear,High,1,0,0,0.0
Pune,Kolkata,1179,Shadowfax,B2B,Express,Air,Normal,4.78,36,Clear,Medium,11,1,1,12.9
Hyderabad,Ahmedabad,1085,Xpressbees,B2C,Same Day,Air,High,31.57,8,Clear,Low,3,0,0,0.0
Kolkata,Bangalore,1831,Delhivery,B2C,Express,Air,High,29.46,36,Fog,Medium,1,0,0,0.0
Jaipur,Pune,2242,Shadowfax,B2B,Express,Air,Normal,26.03,24,Clear,Low,6,0,0,0.0
Bangalore,Jaipur,1218,Blue Dart,B2C,Express,Air,Normal,7.91,36,Fog,Jam (Gridlock),7,0,1,8.1
Delhi,Pune,1201,India Post,B2B,Same Day,Road,Normal,24.35,8,Fog,Jam (Gridlock),2,0,1,12.0
